Player,Nation,Age,MP,Starts,Min,GA,GA90,SoTA,Saves,Savess,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm

Alisson,BRA,26,29,29,2543,23,0.81,79,58,0.722,23,3,3,13,44.8,1,1,0,0

Adrian,ESP,32,11,9,875,10,1.03,28,17,0.643,9,0,0,2,22.2,0,0,0,0
